Car_Age,Color,Drivetrain,Engine,Sum of Fuel Tank Capacity,Fuel Type,Fuel_ID,Sum of Height,KMGroup,Sum of Kilometer,KMGroup_ID,Sum of Length,Location,Make,Max Power,Model,Max Torque,Owner,Sum of Price,PriceBand,PriceBand_ID,Sum of PricePerKM,Sum of Seating Capacity,Seller Type,Transmission,Transmission_ID,Sum of Width,Year
10,Black,AWD,1968 cc,64,Diesel,D1I1E1,1608,20–50k,47706,G2,4385,Ranchi,Audi,174 bhp @ 4200 rpm,Q3 2.0 TDI quattro Premium,380 Nm @ 1750 rpm,First,1350000,10–15L,PR4,28.30,5,Individual,Automatic,AUT,1831,2015
10,Black,AWD,2967 cc,100,Diesel,D1I1E1,1737,20–50k,46000,G2,5089,Delhi,Audi,241 bhp @ 3800 rpm,Q7 35 TDI Premium + Sunroof,550 Nm @ 1750 rpm,First,2600000,25–50L,PR6,56.52,7,Individual,Automatic,AUT,1983,2015
10,Black,AWD,2982 cc,80,Diesel,D1I1E1,1850,50–100k,72000,G3,4705,Jaipur,Toyota,169 bhp @ 3600 rpm,Fortuner 3.0 4x4 AT,343 Nm @ 1400 rpm,Second,1750000,15–25L,PR5,24.31,7,Individual,Automatic,AUT,1840,2015
10,Black,AWD,2987 cc,100,Diesel,D1I1E1,1850,100–150k,103890,G4,5120,Lucknow,Mercedes-Benz,258 bhp @ 3600 rpm,GL-Class 350 CDI,619 Nm @ 1600 rpm,Second,3700000,25–50L,PR6,35.61,7,Individual,Automatic,AUT,1934,2015
10,Black,AWD,2987 cc,100,Diesel,D1I1E1,1850,50–100k,77000,G3,5120,Chennai,Mercedes-Benz,258 bhp @ 3600 rpm,GL-Class 350 CDI,619 Nm @ 1600 rpm,Second,4200000,25–50L,PR6,54.55,7,Individual,Automatic,AUT,1934,2015
10,Black,AWD,2993 cc,44,Diesel,D1I1E1,1762,50–100k,84700,G3,4886,Navi Mumbai,BMW,258 bhp @ 4000 rpm,X5 xDrive30d Pure Experience (5 Seater),560 Nm @ 1500 rpm,Second,2950000,25–50L,PR6,34.83,5,Individual,Automatic,AUT,1938,2015
10,Black,AWD,2993 cc,44,Diesel,D1I1E1,1762,50–100k,84700,G3,4886,Pune,BMW,258 bhp @ 4000 rpm,X5 xDrive30d Pure Experience (5 Seater),560 Nm @ 1500 rpm,Second,2950000,25–50L,PR6,34.83,5,Individual,Automatic,AUT,1938,2015
10,Black,FWD,1197 cc,43,Petrol,P1E1T1,1520,0–20k,11628,G1,3995,Kolkata,Hyundai,81 bhp @ 6000 rpm,Xcent S 1.2 (O),114 Nm @ 4000 rpm,First,425000,2–5L,PR2,36.55,5,Individual,Manual,MAN,1660,2015
10,Black,FWD,1461 cc,50,Diesel,D1I1E1,1695,50–100k,75000,G3,4315,Kanpur,Renault,84 bhp @ 3750 rpm,Duster 85 PS RxL,200 Nm @ 1900 rpm,First,425000,2–5L,PR2,5.67,5,Individual,Manual,MAN,1822,2015
10,Black,FWD,1798 cc,50,Petrol,P1E1T1,1476,50–100k,94580,G3,4659,Kanpur,Skoda,177 bhp @ 4500 rpm,Octavia Style 1.8 TSI AT,250 Nm @ 1250 rpm,First,819999,5–10L,PR3,8.67,5,Individual,Automatic,AUT,1814,2015
10,Black,FWD,1968 cc,50,Diesel,D1I1E1,1476,20–50k,47981,G2,4659,Mumbai,Skoda,141 bhp @ 4000 rpm,Octavia Elegance 2.0 TDI AT,320 Nm @ 1750 rpm,First,1160000,10–15L,PR4,24.18,5,Individual,Automatic,AUT,1814,2015
10,Black,FWD,1968 cc,50,Diesel,D1I1E1,1416,50–100k,60000,G3,4456,Delhi,Audi,141 bhp @ 3500 rpm,A3 35 TDI Premium + Sunroof,320 Nm @ 1750 rpm,First,1350000,10–15L,PR4,22.50,5,Individual,Automatic,AUT,1796,2015
10,Black,RWD,1991 cc,66,Petrol,P1E1T1,1442,50–100k,60921,G3,4686,Pune,Mercedes-Benz,181 bhp @ 5500 rpm,C-Class C 200 Avantgarde,300 Nm @ 1200 rpm,Second,2385000,15–25L,PR5,39.15,5,Individual,Automatic,AUT,1810,2015
10,Black,RWD,2179 cc,55,Diesel,D1I1E1,1922,150k+,155000,G5,4655,Hyderabad,Tata,138 bhp @ 4000 rpm,Safari 2.2 VX 4x2,320 Nm @ 1700 rpm,First,740000,5–10L,PR3,4.77,7,Individual,Manual,MAN,1965,2015
10,Black,RWD,2993 cc,83,Diesel,D1I1E1,1457,20–50k,39000,G2,5252,Delhi,Jaguar,271 bhp @ 4000 rpm,XJ 3.0 V6 Portfolio,600 Nm @ 2000 rpm,First,3900000,25–50L,PR6,100.00,5,Individual,Automatic,AUT,1899,2015
10,Blue,AWD,1968 cc,64,Diesel,D1I1E1,1608,50–100k,79000,G3,4385,Ahmedabad,Audi,174 bhp @ 4200 rpm,Q3 2.0 TDI quattro Premium Plus,380 Nm @ 1750 rpm,Second,1513000,15–25L,PR5,19.15,5,Individual,Automatic,AUT,1831,2015
10,Blue,AWD,2967 cc,90,Diesel,D1I1E1,1471,20–50k,32000,G2,5265,Hyderabad,Audi,247 bhp @ 4000 rpm,A8 3.0 TDI quattro,580 Nm @ 1750 rpm,First,4900000,25–50L,PR6,153.13,4,Individual,Automatic,AUT,1949,2015
10,Blue,AWD,2993 cc,44,Diesel,D1I1E1,1762,50–100k,87000,G3,4886,Mohali,BMW,258 bhp @ 4000 rpm,X5 xDrive 30d,560 Nm @ 1500 rpm,First,2975000,25–50L,PR6,34.20,7,Individual,Automatic,AUT,1938,2015
10,Blue,FWD,1197 cc,43,Petrol,P1E1T1,1520,50–100k,69700,G3,3765,Mumbai,Hyundai,79 bhp @ 6000 rpm,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],112 Nm @ 4000 rpm,First,455000,2–5L,PR2,6.53,5,Individual,Automatic,AUT,1660,2015
10,Blue,FWD,1248 cc,42,Diesel,D1I1E1,1530,20–50k,36528,G2,3850,Varanasi,Maruti Suzuki,74 bhp @ 4000 rpm,Swift VDi,190 Nm @ 2000 rpm,Third,425000,2–5L,PR2,11.63,5,Individual,Manual,MAN,1695,2015
10,Blue,FWD,1968 cc,75,Diesel,D1I1E1,1455,50–100k,100000,G3,4933,Jaipur,Audi,190 bhp @ 3800 rpm,A6 35 TDI Matrix,400 Nm @ 1750 rpm,First,2400000,15–25L,PR5,24.00,5,Individual,Automatic,AUT,1874,2015
