Age_Group_ID, Car_Age,Color,Cr_Age_Group,Drivetrain,  Engine_Value_Index,Engine(CC),Fuel Tank Capacity,Fuel Type,Fuel_Efficieny_Score,Fuel_ID, Height,Kilometer,KMGroup,KMGroup_ID,Length,Location,Make,Max Power,Max Torque,Model,Owner,Price,Price_Per_Seat,PriceBand,PriceBand_ID, PricePerKM,Seating Capacity,Seller Type,Transmission,Transmission_ID,Width,Year
201,4,Beige,03-May,AWD,0.03%,1999,66,Diesel,0.59%,D1I1E1,1649,35000,20–50k,G2,4371,Delhi,Land Rover,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,Evoque SE R-Dynamic,First,"? 59,50,000","? 11,90,000",50L+,PR7,170,5,Individual,Automatic,AUT,1996,2021
201,4,Black,03-May,AWD,0.02%,1950,93,Diesel,0.10%,D1I1E1,1772,9000,0–20k,G1,4924,Delhi,Mercedes-Benz,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,GLE 300d 4MATIC LWB,First,"? 89,00,000","? 17,80,000",50L+,PR7,988.89,5,Individual,Automatic,AUT,2157,2021
201,4,Black,03-May,AWD,0.06%,1996,75,Diesel,0.23%,D1I1E1,1867,7900,0–20k,G1,4985,Hyderabad,MG,215 bhp @ 4000 rpm,480 Nm @ 1500 rpm,Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,First,"? 35,00,000","? 5,83,333",25–50L,PR6,443.04,6,Individual,Automatic,AUT,1926,2021
201,3,Black,03-May,AWD,0.11%,2184,57,Diesel,0.23%,D1I1E1,1844,4500,0–20k,G1,3985,Ludhiana,Mahindra,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,Thar LX 4-STR Hard Top Diesel AT,First,"? 19,50,000","? 4,87,500",15–25L,PR5,433.33,4,Individual,Automatic,AUT,1820,2022
201,3,Black,03-May,AWD,0.12%,2184,57,Diesel,0.60%,D1I1E1,1844,11000,0–20k,G1,3985,Mumbai,Mahindra,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,Thar LX 4-STR Hard Top Diesel AT,First,"? 18,25,000","? 4,56,250",15–25L,PR5,165.91,4,Individual,Automatic,AUT,1820,2022
201,4,Black,03-May,AWD,0.03%,1950,66,Diesel,0.27%,D1I1E1,1644,19000,0–20k,G1,4658,Mumbai,Mercedes-Benz,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,GLC 220d 4MATIC Progressive,First,"? 70,00,000","? 14,00,000",50L+,PR7,368.42,5,Individual,Automatic,AUT,1890,2021
201,4,Black,03-May,AWD,0.12%,2184,57,Diesel,0.94%,D1I1E1,1844,17000,0–20k,G1,3985,Pune,Mahindra,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,Thar LX 4-STR Hard Top Diesel MT,First,"? 18,00,000","? 4,50,000",15–25L,PR5,105.88,4,Individual,Manual,MAN,1820,2021
201,4,Black,03-May,AWD,0.13%,2184,57,Diesel,0.82%,D1I1E1,1844,14000,0–20k,G1,3985,Yamunanagar,Mahindra,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,Thar LX 4-STR Hard Top Diesel AT,First,"? 17,00,000","? 4,25,000",15–25L,PR5,121.43,4,Individual,Automatic,AUT,1820,2021
201,5,Black,03-May,AWD,0.14%,2184,57,Diesel,1.81%,D1I1E1,1920,28000,20–50k,G2,3985,Delhi,Mahindra,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,Thar AX 6-STR Soft Top Diesel MT,First,"? 15,50,000","? 2,58,333",15–25L,PR5,55.36,6,Individual,Manual,MAN,1820,2020
201,3,Black,03-May,AWD,0.08%,2184,60,Diesel,1.13%,D1I1E1,1755,31000,20–50k,G2,4695,Jaipur,Mahindra,182 bhp @ 3500 rpm,450 Nm @ 1750 rpm,XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR,First,"? 27,50,000","? 3,92,857",25–50L,PR6,88.71,7,Individual,Automatic,AUT,1890,2022
